name,artist,release_date,length (minutes),popularity,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,hit
Smells Like Teen Spirit,Nirvana,1991,5.03,74,0.502,2.55e-05,0.912,0.000173,1,0.106,-4.556,0.0564,116.761,4,0.72,1
Stairway to Heaven - Remaster,Led Zeppelin,1971,8.05,78,0.338,0.58,0.34,0.0032,9,0.116,-12.049,0.0339,82.433,4,0.197,1
Bohemian Rhapsody - Remastered 2011,Queen,1975,5.91,74,0.392,0.288,0.402,0.0,0,0.243,-9.961,0.0536,143.883,4,0.228,1
Imagine - Remastered 2010,John Lennon,1971,3.13,77,0.547,0.907,0.257,0.183,0,0.0935,-12.358,0.0252,75.752,4,0.169,1
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,3.71,77,0.723,0.0383,0.863,0.0317,2,0.128,-7.89,0.0338,136.302,4,0.931,1
Hotel California - 2013 Remaster,Eagles,1976,6.52,83,0.579,0.00574,0.508,0.000494,2,0.0575,-9.484,0.027,147.125,4,0.609,1
Enter Sandman,Metallica,1991,5.53,74,0.579,0.00206,0.824,0.00903,6,0.059,-8.71,0.03,123.331,4,0.635,1
Whole Lotta Love - 1990 Remaster,Led Zeppelin,1969,5.56,77,0.412,0.0484,0.902,0.131,9,0.405,-11.6,0.405,89.74,4,0.422,1
Comfortably Numb,Pink Floyd,1979,6.37,74,0.472,0.15,0.366,0.308,11,0.0837,-12.595,0.0286,127.167,4,0.171,1
One,U2,1991,4.6,76,0.392,0.245,0.534,0.00104,0,0.155,-8.793,0.0369,181.305,4,0.325,1
Born to Run,Bruce Springsteen,1975,4.5,73,0.27,0.00501,0.944,2.05e-05,4,0.116,-4.199,0.0975,146.347,4,0.606,1
Smoke on the Water,Deep Purple,1972,5.7,64,0.632,0.0983,0.586,0.581,0,0.0535,-11.333,0.0284,114.243,4,0.89,1
Hey Jude - Remastered 2015,The Beatles,2000,7.09,76,0.386,0.0112,0.607,1.38e-05,10,0.088,-7.7,0.0261,147.207,4,0.532,1
Paranoid - 2012 - Remaster,Black Sabbath,1970,2.81,69,0.412,4.52e-05,0.658,0.000774,4,0.176,-12.051,0.0708,163.071,4,0.454,1
Seven Nation Army,The White Stripes,2003,3.86,65,0.726,0.00817,0.463,0.447,0,0.255,-7.828,0.0799,123.881,4,0.321,1
Free Bird,Lynyrd Skynyrd,1973,9.12,71,0.249,0.0738,0.834,9.48e-05,0,0.0924,-8.21,0.0577,118.223,4,0.338,1
